time_id,investment_date,investment_month,investment_quarter,investment_year
1,2023-07-01,7,3,2023
2,2023-07-02,7,3,2023
3,2023-07-03,7,3,2023
4,2023-07-04,7,3,2023
5,2023-07-05,7,3,2023
6,2023-07-06,7,3,2023
7,2023-07-07,7,3,2023
8,2023-07-08,7,3,2023
9,2023-07-09,7,3,2023
10,2023-07-10,7,3,2023
11,2023-07-11,7,3,2023
12,2023-07-12,7,3,2023
13,2023-07-13,7,3,2023
14,2023-07-14,7,3,2023
15,2023-07-15,7,3,2023
16,2023-07-16,7,3,2023
17,2023-07-17,7,3,2023
18,2023-07-18,7,3,2023
19,2023-07-19,7,3,2023
20,2023-07-20,7,3,2023
21,2023-07-21,7,3,2023
22,2023-07-22,7,3,2023
23,2023-07-23,7,3,2023
24,2023-07-24,7,3,2023
25,2023-07-25,7,3,2023
26,2023-07-26,7,3,2023
27,2023-07-27,7,3,2023
28,2023-07-28,7,3,2023
29,2023-07-29,7,3,2023
30,2023-07-30,7,3,2023
31,2023-07-31,7,3,2023
32,2023-08-01,8,3,2023
33,2023-08-02,8,3,2023
34,2023-08-03,8,3,2023
35,2023-08-04,8,3,2023
36,2023-08-05,8,3,2023
37,2023-08-06,8,3,2023
38,2023-08-07,8,3,2023
39,2023-08-08,8,3,2023
40,2023-08-09,8,3,2023
41,2023-08-10,8,3,2023
42,2023-08-11,8,3,2023
43,2023-08-12,8,3,2023
44,2023-08-13,8,3,2023
45,2023-08-14,8,3,2023
46,2023-08-15,8,3,2023
47,2023-08-16,8,3,2023
48,2023-08-17,8,3,2023
49,2023-08-18,8,3,2023
50,2023-08-19,8,3,2023
51,2023-08-20,8,3,2023
52,2023-08-21,8,3,2023
53,2023-08-22,8,3,2023
54,2023-08-23,8,3,2023
55,2023-08-24,8,3,2023
56,2023-08-25,8,3,2023
57,2023-08-26,8,3,2023
58,2023-08-27,8,3,2023
59,2023-08-28,8,3,2023
60,2023-08-29,8,3,2023
61,2023-08-30,8,3,2023
62,2023-08-31,8,3,2023
63,2023-09-01,9,3,2023
64,2023-09-02,9,3,2023
65,2023-09-03,9,3,2023
66,2023-09-04,9,3,2023
67,2023-09-05,9,3,2023
68,2023-09-06,9,3,2023
69,2023-09-07,9,3,2023
70,2023-09-08,9,3,2023
71,2023-09-09,9,3,2023
72,2023-09-10,9,3,2023
73,2023-09-11,9,3,2023
74,2023-09-12,9,3,2023
75,2023-09-13,9,3,2023
76,2023-09-14,9,3,2023
77,2023-09-15,9,3,2023
78,2023-09-16,9,3,2023
79,2023-09-17,9,3,2023
80,2023-09-18,9,3,2023
81,2023-09-19,9,3,2023
82,2023-09-20,9,3,2023
83,2023-09-21,9,3,2023
84,2023-09-22,9,3,2023
85,2023-09-23,9,3,2023
86,2023-09-24,9,3,2023
87,2023-09-25,9,3,2023
88,2023-09-26,9,3,2023
89,2023-09-27,9,3,2023
90,2023-09-28,9,3,2023
91,2023-09-29,9,3,2023
92,2023-09-30,9,3,2023
93,2023-10-01,10,4,2023
94,2023-10-02,10,4,2023
95,2023-10-03,10,4,2023
96,2023-10-04,10,4,2023
97,2023-10-05,10,4,2023
98,2023-10-06,10,4,2023
99,2023-10-07,10,4,2023
100,2023-10-08,10,4,2023
101,2023-10-09,10,4,2023
102,2023-10-10,10,4,2023
103,2023-10-11,10,4,2023
104,2023-10-12,10,4,2023
105,2023-10-13,10,4,2023
106,2023-10-14,10,4,2023
107,2023-10-15,10,4,2023
