v,vw,o,c,h,l,t,n
28264785.0,130.8295,130.82,130.22,131.85,130.065,1688356800000,288178
35895409.0,130.3199,130.24,130.38,131.4,129.64,1688529600000,352167
40697848.0,128.268,128.25,128.36,128.73,127.37,1688616000000,393280
41992251.0,129.8568,128.59,129.78,130.97,128.1294,1688702400000,395217
61889289.0,127.083,129.07,127.13,129.28,125.915,1688961600000,569506
49951460.0,128.6314,127.75,128.78,129.77,127.35,1689048000000,445921
53922847.0,130.2768,130.31,130.8,131.26,128.83,1689134400000,458437
61166283.0,133.882,134.04,134.3,134.67,132.71,1689220800000,531708
54466090.0,135.2716,134.06,134.68,136.65,134.06,1689307200000,486529
48450198.0,133.8504,134.56,133.56,135.62,133.21,1689566400000,463529
54969133.0,132.6637,132.71,132.83,133.86,131.355,1689652800000,474707
54390507.0,135.0114,133.39,135.36,135.99,132.53,1689739200000,487048
59782329.0,131.4709,134.07,129.96,134.7915,129.33,1689825600000,568435
133282294.0,129.966,131.34,130,131.37,128.415,1689912000000,506609
45670858.0,129.2815,130.305,128.8,131.66,128.35,1690171200000,391846
39219663.0,129.0005,129.31,129.13,129.58,128.53,1690257600000,374778
53910087.0,127.7909,126.51,128.15,129.08,126.11,1690344000000,524592
52610661.0,130.3938,131,128.25,132.63,127.79,1690430400000,499433
46269781.0,131.8837,129.69,132.21,133.01,129.33,1690516800000,413438
41901516.0,133.341,133.2,133.68,133.87,132.38,1690776000000,406644
42250989.0,132.247,133.55,131.69,133.69,131.6199,1690862400000,385743
50988614.0,128.3973,130.154,128.21,130.23,126.82,1690948800000,532942
90855736.0,131.4941,127.48,128.91,129.84,126.41,1691035200000,746639
153091370.0,141.3899,141.06,139.57,143.63,139.32,1691121600000,1366815
71213112.0,141.0045,140.99,142.22,142.54,138.95,1691380800000,659134
51706497.0,139.5936,140.62,139.94,140.84,138.42,1691467200000,509773
49910149.0,138.3272,139.97,137.85,140.32,137.1,1691553600000,428760
58804832.0,138.8765,139.075,138.56,140.41,137.49,1691640000000,460780
42905833.0,138.3628,137.4,138.41,139.33,137,1691726400000,394897
47148699.0,139.6426,138.3,140.57,140.59,137.75,1691985600000,404084
42781521.0,138.368,140.05,137.67,141.2778,137.23,1692072000000,409077
41675903.0,136.0273,137.19,135.07,137.27,135.01,1692158400000,403275
48354085.0,134.6856,135.46,133.98,136.085,133.53,1692244800000,414339
48497595.0,132.7896,131.62,133.22,134.065,131.15,1692331200000,431787
41442483.0,134.1416,133.74,134.68,135.185,132.71,1692590400000,348372
