v,vw,o,c,h,l,t,n
11054778.0,135.1124,135.24,135.12,136.74,133.89,1672722000000,115529
11687643.0,136.4908,135.99,136.38,137.68,135.57,1672808400000,130573
8381265.0,134.988,135.66,135.35,135.71,133.7004,1672894800000,92590
10029076.0,137.3405,136.125,137.94,138.38,134.49,1672981200000,115516
8482297.0,137.7288,138.6,137.37,138.88,136.88,1673240400000,96203
9048665.0,138.3062,137.79,138.6,138.72,137.31,1673326800000,91475
8703698.0,139.24,138.9,139.63,139.75,138.1,1673413200000,103942
11001666.0,139.93,140,139.49,140.86,139.22,1673499600000,125809
20200047.0,140.7266,135.6,143.01,143.49,134.8,1673586000000,225876
14292881.0,140.456,141.17,140.8,141.54,139.225,1673931600000,154842
13389161.0,137.7384,138.92,136.57,140.73,136.41,1674018000000,139267
13303371.0,134.8734,135.32,134.75,135.9,133.59,1674104400000,132105
13092492.0,134.7617,135.16,135.08,135.49,133.55,1674190800000,123573
10483768.0,136.9099,135.115,137.27,137.96,134.82,1674450000000,113302
6944991.0,138.3662,140.29,138.45,140.29,135,1674536400000,88870
8962387.0,138.3453,138.05,139.12,139.12,137.25,1674622800000,92009
7487631.0,139.5063,139.42,139.98,140.06,138.36,1674709200000,84753
7489946.0,140.5262,140.61,140.32,141.255,139.7499,1674795600000,89969
6729255.0,139.4634,139.23,139.13,140.09,138.91,1675054800000,79741
9188738.0,139.3323,139.88,139.96,140.07,138.25,1675141200000,89806
8841846.0,139.5571,138.21,139.59,140.875,138.12,1675227600000,115418
11822064.0,139.0708,140,138.94,140.46,138,1675314000000,139145
11439232.0,140.7472,138.18,141.09,142.33,138.13,1675400400000,131014
8406231.0,141.3295,140.23,141.92,142.24,140.0313,1675659600000,90434
10447888.0,143.0404,141.38,143.65,144.34,141.18,1675746000000,111846
6957965.0,143.0633,142.65,142.64,144.04,142.2763,1675832400000,83611
6443109.0,141.0556,143.12,140.42,143.34,139.87,1675918800000,75559
6582853.0,140.4591,139.78,141.04,141.28,138.59,1676005200000,81825
7134607.0,142.3043,141.3,142.57,142.73,140.74,1676264400000,87909
9249399.0,143.0121,142.5,143.2,143.81,141.595,1676350800000,100801
6731172.0,143.2147,141.61,143.8,143.89,141.3,1676437200000,77564
8165306.0,142.329,142.91,141.82,143.39,141.676,1676523600000,92229
7948829.0,141.8221,140.98,142.24,142.83,140.07,1676610000000,89304
9996283.0,139.6909,140.69,139.63,141.34,138.75,1676955600000,100452
11104036.0,138.6308,138.92,138.56,139.43,137.435,1677042000000,107264
8068010.0,139.2911,138.73,139.67,140.17,137.94,1677128400000,104005
9126888.0,140.5161,139.11,140.93,141.36,138.93,1677214800000,112380
10014654.0,142.4964,142.11,142.16,143.31,141.7201,1677474000000,113736
11019757.0,143.0952,142.94,143.35,143.76,141.9001,1677560400000,111699
7139155.0,142.6185,142.1,142.55,143.4583,141.8,1677646800000,93863
11107549.0,140.7496,142.24,141.07,142.43,139.54,1677733200000,111259
9513063.0,142.8166,141.51,143.66,143.74,141.08,1677819600000,104600
9261255.0,143.2345,143.44,142.82,144.04,142.66,1678078800000,106793
11747620.0,139.4929,142.01,138.62,142.31,137.81,1678165200000,145563
