o,c,h,l,t
15190.5414318954,15208.6932939595,15232.96134881992,15153.59713283207,1688360400000
15165.35858827069,15203.77765940839,15275.18148462772,15162.65811748091,1688533200000
15054.10330754214,15089.44869228777,15106.45358010147,14969.14420626536,1688619600000
15070.50098745841,15036.85203288828,15210.62734231826,15032.56211099787,1688706000000
15031.94674348979,15045.6386551749,15066.43540322388,14924.63583361054,1688965200000
15068.13162289981,15119.06175474468,15135.29060913222,14974.15999956047,1689051600000
15279.35228505855,15307.22589531347,15364.09176358542,15209.70764997747,1689138000000
15432.47822349836,15571.97608863432,15602.73934255319,15420.71294503684,1689224400000
15610.00225197615,15565.59720488614,15720.05522788529,15530.99899844943,1689310800000
15608.28381344291,15713.27711268428,15745.6667233559,15576.51217543057,1689570000000
15671.72214208163,15841.35136312486,15895.67731015268,15607.71231274969,1689656400000
15888.15587648817,15826.35232139781,15932.05026420087,15781.95918105374,1689742800000
15717.67308446157,15466.0882606739,15771.84342804978,15429.86775372132,1689829200000
15554.95481187699,15425.67396606672,15600.5376255589,15410.56559089982,1689915600000
15475.15314141391,15448.02052097999,15504.66758041091,15374.65553603013,1690174800000
15483.06337063049,15561.41541626182,15622.68655148195,15482.03953409444,1690261200000
15514.04174631834,15499.26473526639,15571.15664157776,15411.90500977378,1690347600000
15734.02702464318,15464.92919772619,15795.51233288674,15416.047257584,1690434000000
15630.17362298252,15750.92771978492,15788.47597015715,15617.7476911446,1690520400000
15774.29697913586,15756.99941665471,15803.55178135431,15702.73680147429,1690779600000
15696.98268464625,15718.00918877653,15748.42692879305,15636.56536422084,1690866000000
15561.14759604778,15370.73887045642,15561.3565202507,15321.43716998052,1690952400000
15287.77301957027,15353.54120639021,15436.5905407642,15270.72237905289,1691038800000
15420.7391719441,15274.91503440916,15523.31437670746,15258.68561169844,1691125200000
15355.62253695427,15407.85441512311,15410.85392018024,15258.920374473,1691384400000
15279.41420070963,15273.04838155852,15295.79951996568,15148.24572589929,1691470800000
15286.98752686512,15101.70736461432,15288.76044220756,15077.91134872033,1691557200000
15217.29421892228,15128.837438579,15366.28681182359,15072.49181481393,1691643600000
15010.52414233809,15028.07147324647,15102.53056081587,14973.66529150839,1691730000000
14988.41698554057,15205.58545032736,15206.26291617252,14972.01054410756,1691989200000
15172.07898592668,15037.64754458052,15192.88417936485,15014.36484646226,1692075600000
15021.62966728397,14876.46951484756,15077.04822936773,14874.02352063015,1692162000000
14943.33614461143,14715.81040096317,14949.58450970335,14698.28767576406,1692248400000
14589.71382071723,14694.83711013657,14744.56804713588,14557.82921474942,1692334800000
