v,vw,o,c,h,l,t,n
401276580.0,14.3681,14.851,14.315,14.996,14.096,1672722000000,424974
431323600.0,14.6152,14.567,14.749,14.853,14.241,1672808400000,367769
389168110.0,14.314,14.491,14.265,14.564,14.148,1672894800000,365497
405043620.0,14.5982,14.474,14.859,15.01,14.034,1672981200000,357261
504180560.0,15.7877,15.284,15.628,16.056,15.141,1673240400000,518396
384101260.0,15.747,15.507,15.909,15.962,15.472,1673326800000,360974
353194930.0,15.8237,15.8395,16.001,16.028,15.563,1673413200000,339154
551277060.0,16.2032,16.1,16.511,16.637,15.492,1673499600000,531717
447287060.0,16.6757,16.278,16.899,16.922,16.165,1673586000000,426243
511102160.0,17.5131,16.899,17.702,17.728,16.899,1673931600000,499106
439583300.0,17.524,17.667,17.377,17.873,17.282,1674018000000,407659
452931600.0,16.9312,17.036,16.765,17.197,16.731,1674104400000,378368
564967120.0,17.4243,17.011,17.839,17.856,16.825,1674190800000,451870
655162590.0,18.8202,18.064,19.193,19.245,17.8175,1674450000000,586657
496204100.0,19.1497,18.827,19.265,19.495,18.82,1674536400000,427820
449537110.0,18.9909,18.9125,19.323,19.37,18.58,1674622800000,401046
489535420.0,19.6421,19.701,19.802,20.166,19.278,1674709200000,461621
542141980.0,20.1699,19.462,20.365,20.628,19.405,1674795600000,519572
488611150.0,19.5543,19.95,19.162,20.14,19.15,1675054800000,500091
498016580.0,19.4049,19.1695,19.537,19.687,18.95,1675141200000,459639
660477040.0,20.3642,19.691,20.943,21.192,19.611,1675227600000,622701
564275800.0,21.4552,21,21.709,21.949,20.7,1675314000000,643708
429365950.0,21.3126,21,21.1,21.745,20.789,1675400400000,468823
452065080.0,21.1985,20.806,21.089,21.57,20.786,1675659600000,432986
662999610.0,21.6974,21.382,22.173,22.259,21.15,1675746000000,638402
559651220.0,22.3817,22.387,22.205,22.878,22.008,1675832400000,597057
523875780.0,22.6665,22.606,22.337,23.02,22.12,1675918800000,569278
550736750.0,21.3152,21.69,21.265,22.0776,20.811,1676005200000,606404
474918620.0,21.694,21.538,21.788,22.048,20.962,1676264400000,463567
675435900.0,22.5682,21.578,22.971,23.0488,21.366,1676350800000,697353
421148660.0,22.5468,22.549,22.764,22.855,22.106,1676437200000,471919
412026280.0,22.2462,22.133,22.002,22.55,21.9268,1676523600000,473577
465887640.0,21.3416,21.631,21.388,21.74,20.975,1676610000000,552526
