v,vw,o,c,h,l,t,n
2182,1.3246,1.3236,1.325,1.3252,1.32239,1688256000000,2182
135235,1.3251,1.32494,1.32476,1.3274,1.3228,1688342400000,135235
105110,1.3233,1.32477,1.32232,1.32563,1.32026,1688428800000,105110
120465,1.3258,1.32232,1.32849,1.3288,1.3217,1688515200000,120465
140974,1.3324,1.32851,1.33647,1.3383,1.3273,1688601600000,140974
142033,1.3333,1.33644,1.3295,1.3387,1.32069,1688688000000,142033
1,1.3291,1.3291,1.3291,1.3291,1.3291,1688774400000,1
3951,1.3277,1.3271,1.32781,1.3281,1.32569,1688860800000,3951
148428,1.3285,1.32779,1.3273,1.33041,1.3267,1688947200000,148428
149828,1.3262,1.32734,1.32287,1.329,1.3222,1689033600000,149828
155809,1.3198,1.32277,1.3183,1.32339,1.31113,1689120000000,155809
163279,1.3149,1.31831,1.31124,1.31943,1.3095,1689206400000,163279
145901,1.3144,1.31126,1.3229,1.3231,1.309,1689292800000,145901
1,1.3225,1.3225,1.3225,1.3225,1.3225,1689379200000,1
2077,1.3224,1.31997,1.3227,1.32317,1.3194,1689465600000,2077
130312,1.3206,1.32263,1.32013,1.3232,1.31326,1689552000000,130312
148970,1.3194,1.32012,1.31663,1.32431,1.316,1689638400000,148970
159604,1.3171,1.31662,1.31629,1.3193,1.3154,1689724800000,159604
163631,1.3155,1.3163,1.31739,1.31945,1.3117,1689811200000,163631
146837,1.3189,1.31737,1.3229,1.3229,1.3152,1689897600000,146837
1,1.3228,1.3228,1.3228,1.3228,1.3228,1689984000000,1
2349,1.3221,1.3221,1.32251,1.3227,1.31982,1690070400000,2349
164168,1.3191,1.32251,1.31747,1.32283,1.3148,1690156800000,164168
155792,1.3174,1.31746,1.31873,1.32095,1.3145,1690243200000,155792
178295,1.3206,1.31864,1.32047,1.3238,1.317,1690329600000,178295
186294,1.319,1.32044,1.3225,1.32431,1.3137,1690416000000,186294
178776,1.3231,1.32268,1.3248,1.32528,1.21706,1690502400000,178776
3775,1.3245,1.32205,1.325,1.32516,1.32153,1690675200000,3775
152321,1.3211,1.32515,1.3193,1.32611,1.3149,1690761600000,152321
147884,1.3259,1.31929,1.32683,1.33,1.3184,1690848000000,147884
169541,1.3315,1.3269,1.33442,1.33531,1.32683,1690934400000,169541
169726,1.3355,1.33434,1.33507,1.33779,1.3327,1691020800000,169726
176501,1.3357,1.33505,1.3381,1.33935,1.3222,1691107200000,176501
3557,1.3375,1.3374,1.33746,1.33802,1.3356,1691280000000,3557
149651,1.3375,1.33754,1.3369,1.34,1.33038,1691366400000,149651
173363,1.3433,1.33713,1.3425,1.35021,1.3365,1691452800000,173363
157235,1.3423,1.34256,1.34191,1.34541,1.3403,1691539200000,157235
176078,1.341,1.34191,1.3444,1.3458,1.3371,1691625600000,176078
166022,1.3441,1.34442,1.3437,1.34945,1.32802,1691712000000,166022
3795,1.344,1.34302,1.3439,1.34452,1.34164,1691884800000,3795
164127,1.3457,1.34399,1.34588,1.348,1.34203,1691971200000,164127
181462,1.3474,1.34589,1.34902,1.35014,1.34388,1692057600000,181462
180869,1.3507,1.34902,1.35365,1.35447,1.3473,1692144000000,180869
179449,1.3527,1.35366,1.35452,1.35521,1.34921,1692230400000,179449
184498,1.3547,1.35452,1.3566,1.35749,1.35198,1692316800000,184498
2495,1.3546,1.35402,1.35415,1.35495,1.35324,1692489600000,2495
97125,1.3538,1.35416,1.3546,1.3573,1.3493,1692576000000,97125
103728,1.3541,1.35461,1.35496,1.35644,1.3511,1692662400000,103728
102168,1.3552,1.35495,1.35237,1.3604,1.3518,1692748800000,102168
103812,1.3548,1.35235,1.35864,1.35884,1.3508,1692835200000,103812
101223,1.3599,1.35863,1.3606,1.36394,1.3567,1692921600000,101223
3307,1.3594,1.35842,1.35946,1.36002,1.35729,1693094400000,3307
162407,1.3594,1.3594,1.36002,1.36118,1.35479,1693180800000,162407
175911,1.3596,1.36004,1.35585,1.36372,1.35374,1693267200000,175911
164812,1.3549,1.35585,1.35345,1.35749,1.34888,1693353600000,164812
166536,1.3533,1.35346,1.35103,1.3558,1.34991,1693440000000,166536
154764,1.3542,1.35103,1.3568,1.3613,1.3488,1693526400000,154764
1,1.3568,1.3568,1.3568,1.3568,1.3568,1693699200000,1
84746,1.3593,1.35907,1.35991,1.3605,1.3575,1693785600000,84746
171095,1.363,1.3599,1.3637,1.36695,1.35809,1693872000000,171095
138375,1.3651,1.36395,1.3639,1.36757,1.35932,1693958400000,138375
132309,1.366,1.36391,1.36826,1.36944,1.36122,1694044800000,132309
131050,1.3649,1.36826,1.3656,1.36893,1.34861,1694131200000,131050
1,1.3656,1.3656,1.3656,1.3656,1.3656,1694217600000,1
4225,1.3631,1.36183,1.36285,1.3637,1.3613,1694304000000,4225
143161,1.3595,1.36283,1.35796,1.36353,1.35431,1694390400000,143161
139729,1.357,1.35795,1.35526,1.35928,1.35321,1694476800000,139729
188021,1.3556,1.35526,1.35523,1.35859,1.34994,1694563200000,188021
164531,1.3525,1.35524,1.35156,1.35539,1.34872,1694649600000,164531
173395,1.3516,1.35157,1.3534,1.35496,1.33245,1694736000000,173395
2278,1.3523,1.35047,1.3522,1.3526,1.35039,1694908800000,2278
138533,1.3501,1.3522,1.34866,1.35278,1.347,1694995200000,138533
163522,1.3443,1.34866,1.34428,1.3488,1.33729,1695081600000,163522
184788,1.3438,1.344,1.34773,1.3478,1.3393,1695168000000,184788
181141,1.349,1.34771,1.34765,1.35236,1.343,1695254400000,181141
149764,1.3463,1.34764,1.3489,1.3504,1.33424,1695340800000,149764
5596,1.3475,1.34572,1.34771,1.34806,1.34511,1695513600000,5596
153513,1.3473,1.34772,1.34503,1.3492,1.3446,1695600000000,153513
189799,1.3494,1.34504,1.35195,1.3528,1.3447,1695686400000,189799
179970,1.3517,1.35191,1.35002,1.3543,1.3489,1695772800000,179970
195907,1.3493,1.34997,1.34907,1.35163,1.33724,1695859200000,195907
182175,1.3492,1.34908,1.3588,1.3588,1.34143,1695945600000,182175
3815,1.3574,1.3554,1.35733,1.35811,1.3551,1696118400000,3815
176991,1.3628,1.35725,1.36758,1.3685,1.3559,1696204800000,176991
195694,1.3706,1.36758,1.37092,1.3736,1.3673,1696291200000,195694
209724,1.3725,1.37094,1.3743,1.37795,1.36727,1696377600000,209724
186534,1.3738,1.37441,1.37056,1.37856,1.36996,1696464000000,186534
192095,1.3698,1.37057,1.368,1.37447,1.35363,1696550400000,192095
7491,1.3667,1.36734,1.3662,1.36789,1.36481,1696723200000,7491
172480,1.3637,1.36619,1.3578,1.36761,1.35665,1696809600000,172480
198238,1.359,1.35802,1.35837,1.3617,1.3567,1696896000000,198238
162653,1.3596,1.35838,1.35956,1.36236,1.35436,1696982400000,162653
168961,1.3629,1.35958,1.36844,1.37006,1.35697,1697068800000,168961
169520,1.3669,1.36845,1.3666,1.36887,1.35875,1697155200000,169520
4161,1.3647,1.36418,1.36433,1.3662,1.36389,1697328000000,4161
162136,1.3629,1.36432,1.3614,1.36554,1.3604,1697414400000,162136
170703,1.364,1.36149,1.36528,1.3703,1.3607,1697500800000,170703
158481,1.3663,1.36528,1.37125,1.3717,1.3615,1697587200000,158481
